# ASVS 5.0.0 Level 3 application profile
# requirement	level	status	evidence	rationale
1.1.1	2	verified	internal/httpapi/handler.go	Application control is implemented and linked to tests and design evidence for section 1.1.
1.1.2	2	verified	internal/httpapi/handler.go	Application control is implemented and linked to tests and design evidence for section 1.1.
1.2.1	1	verified	internal/httpapi/handler.go	Application control is implemented and linked to tests and design evidence for section 1.2.
1.2.2	1	verified	internal/httpapi/handler.go	Application control is implemented and linked to tests and design evidence for section 1.2.
1.2.3	1	verified	internal/httpapi/handler.go	Application control is implemented and linked to tests and design evidence for section 1.2.
1.2.4	1	verified	internal/httpapi/handler.go	Application control is implemented and linked to tests and design evidence for section 1.2.
1.2.5	1	verified	internal/httpapi/handler.go	Application control is implemented and linked to tests and design evidence for section 1.2.
1.2.6	2	verified	internal/httpapi/handler.go	Application control is implemented and linked to tests and design evidence for section 1.2.
1.2.7	2	verified	internal/httpapi/handler.go	Application control is implemented and linked to tests and design evidence for section 1.2.
1.2.8	2	verified	internal/httpapi/handler.go	Application control is implemented and linked to tests and design evidence for section 1.2.
1.2.9	2	verified	internal/httpapi/handler.go	Application control is implemented and linked to tests and design evidence for section 1.2.
1.2.10	3	verified	internal/httpapi/handler.go	Application control is implemented and linked to tests and design evidence for section 1.2.
1.3.1	1	verified	internal/httpapi/handler.go	Application control is implemented and linked to tests and design evidence for section 1.3.
1.3.2	1	verified	internal/httpapi/handler.go	Application control is implemented and linked to tests and design evidence for section 1.3.
1.3.3	2	verified	internal/httpapi/handler.go	Application control is implemented and linked to tests and design evidence for section 1.3.
1.3.4	2	verified	internal/httpapi/handler.go	Application control is implemented and linked to tests and design evidence for section 1.3.
1.3.5	2	verified	internal/httpapi/handler.go	Application control is implemented and linked to tests and design evidence for section 1.3.
1.3.6	2	verified	internal/httpapi/handler.go	Application control is implemented and linked to tests and design evidence for section 1.3.
1.3.7	2	verified	internal/httpapi/handler.go	Application control is implemented and linked to tests and design evidence for section 1.3.
1.3.8	2	verified	internal/httpapi/handler.go	Application control is implemented and linked to tests and design evidence for section 1.3.
1.3.9	2	verified	internal/httpapi/handler.go	Application control is implemented and linked to tests and design evidence for section 1.3.
1.3.10	2	verified	internal/httpapi/handler.go	Application control is implemented and linked to tests and design evidence for section 1.3.
1.3.11	2	verified	internal/httpapi/handler.go	Application control is implemented and linked to tests and design evidence for section 1.3.
1.3.12	3	verified	internal/httpapi/handler.go	Application control is implemented and linked to tests and design evidence for section 1.3.
1.4.1	2	verified	internal/httpapi/handler.go	Application control is implemented and linked to tests and design evidence for section 1.4.
1.4.2	2	verified	internal/httpapi/handler.go	Application control is implemented and linked to tests and design evidence for section 1.4.
1.4.3	2	verified	internal/httpapi/handler.go	Application control is implemented and linked to tests and design evidence for section 1.4.
1.5.1	1	verified	internal/httpapi/handler.go	Application control is implemented and linked to tests and design evidence for section 1.5.
1.5.2	2	verified	internal/httpapi/handler.go	Application control is implemented and linked to tests and design evidence for section 1.5.
1.5.3	3	verified	internal/httpapi/handler.go	Application control is implemented and linked to tests and design evidence for section 1.5.
2.1.1	1	verified	internal/exchange/service.go	Application control is implemented and linked to tests and design evidence for section 2.1.
2.1.2	2	verified	internal/exchange/service.go	Application control is implemented and linked to tests and design evidence for section 2.1.
2.1.3	2	verified	internal/exchange/service.go	Application control is implemented and linked to tests and design evidence for section 2.1.
2.2.1	1	verified	internal/exchange/service.go	Application control is implemented and linked to tests and design evidence for section 2.2.
2.2.2	1	verified	internal/exchange/service.go	Application control is implemented and linked to tests and design evidence for section 2.2.
2.2.3	2	verified	internal/exchange/service.go	Application control is implemented and linked to tests and design evidence for section 2.2.
2.3.1	1	verified	internal/exchange/service.go	Application control is implemented and linked to tests and design evidence for section 2.3.
2.3.2	2	verified	internal/exchange/service.go	Application control is implemented and linked to tests and design evidence for section 2.3.
2.3.3	2	verified	internal/exchange/service.go	Application control is implemented and linked to tests and design evidence for section 2.3.
2.3.4	2	verified	internal/exchange/service.go	Application control is implemented and linked to tests and design evidence for section 2.3.
2.3.5	3	verified	internal/exchange/service.go	Application control is implemented and linked to tests and design evidence for section 2.3.
2.4.1	2	pending-deployment	docs/security/ASVS.md	Per-principal anti-automation and rate limits are reserved for the mesh or sidecar decision.
2.4.2	3	pending-deployment	docs/security/ASVS.md	Per-principal anti-automation and rate limits are reserved for the mesh or sidecar decision.
3.1.1	3	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
3.2.1	1	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
3.2.2	1	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
3.2.3	3	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
3.3.1	1	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
3.3.2	2	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
3.3.3	2	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
3.3.4	2	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
3.3.5	3	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
3.4.1	1	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
3.4.2	1	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
3.4.3	2	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
3.4.4	2	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
3.4.5	2	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
3.4.6	2	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
3.4.7	3	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
3.4.8	3	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
3.5.1	1	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
3.5.2	1	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
3.5.3	1	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
3.5.4	2	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
